Word,Valence,Arousal,Dominance,P_2D_Polar,P_Euclidean,P_Cosine,P_2D_Euclidean,IO2_2D_Polar,IO2_Euclidean,IO2_Cosine,IO2_2D_Euclidean,Valence_Category
폐하다,3.84,4.18,4.65,disgust,disgust,anticipation,disgust,disgust,ennui,sadness,ennui,Negative
가증 한,4.05,5.45,4.62,surprise,disgust,disgust,disgust,sadness,disgust,disgust,disgust,Neutral
질색,2.5,5.9,3.8,sadness,fear,fear,anger,sadness,fear,anxiety,anger,Negative
중단,3.1,5.8,3.38,surprise,fear,fear,fear,sadness,fear,embarrassment,fear,Negative
유산,2.58,5.43,4.73,sadness,anger,anger,anger,sadness,anger,anger,embarrassment,Negative
헛소리,5.11,5.27,4.96,fear,anticipation,anticipation,anticipation,fear,disgust,disgust,disgust,Neutral
연마제,4.26,6.1,4.94,surprise,anticipation,disgust,anticipation,embarrassment,envy,disgust,envy,Neutral
나란히,4.62,4.61,5.19,disgust,anticipation,anticipation,anticipation,anger,disgust,ennui,disgust,Neutral
험준한,3.28,5.23,3.75,sadness,fear,disgust,disgust,sadness,embarrassment,anxiety,disgust,Negative
농양,2.79,4.0,3.95,disgust,sadness,disgust,disgust,disgust,anxiety,disgust,anxiety,Negative
결석,3.86,4.3,4.24,disgust,disgust,anticipation,disgust,disgust,disgust,disgust,disgust,Negative
결석한,4.1,3.72,4.21,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
압생트,3.53,3.7,3.95,disgust,sadness,anticipation,disgust,anger,ennui,ennui,ennui,Negative
순수한,5.43,3.48,5.58,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
사면,6.58,3.38,5.75,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
절해,4.58,3.53,4.82,anger,disgust,trust,disgust,anger,ennui,ennui,ennui,Neutral
흡수하다,5.5,4.27,5.62,anticipation,anticipation,joy,anticipation,ennui,ennui,ennui,ennui,Neutral
기권,4.4,3.1,6.08,anger,anticipation,trust,sadness,anger,ennui,ennui,ennui,Neutral
절제,3.43,3.15,5.64,disgust,disgust,sadness,sadness,anger,ennui,sadness,ennui,Negative
추상적인,5.25,3.96,5.53,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
터무니없는,4.45,4.02,5.06,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
부조리,4.06,4.7,5.37,sadness,disgust,sadness,disgust,disgust,disgust,sadness,disgust,Neutral
풍부,6.67,4.72,5.66,joy,trust,joy,trust,joy,joy,joy,joy,Positive
풍족한,7.55,4.21,5.81,joy,trust,joy,trust,joy,joy,joy,joy,Positive
남용,1.53,6.21,2.9,sadness,fear,fear,anger,sadness,embarrassment,fear,anger,Negative
남용,2.05,5.27,3.58,sadness,fear,anger,anger,sadness,anxiety,envy,anxiety,Negative
심연,3.45,3.91,3.76,disgust,sadness,anticipation,disgust,disgust,ennui,disgust,ennui,Negative
심연,3.9,4.85,4.0,sadness,disgust,anticipation,disgust,disgust,disgust,disgust,disgust,Negative
학생,6.61,3.32,6.21,anticipation,trust,trust,trust,ennui,joy,joy,ennui,Positive
학원,5.32,3.77,5.38,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
촉진제,4.59,4.81,6.04,disgust,anticipation,sadness,anticipation,disgust,disgust,sadness,disgust,Neutral
가속,6.1,6.04,6.15,trust,anticipation,anticipation,anticipation,envy,joy,ennui,joy,Positive
가속,6.21,4.75,6.29,joy,trust,joy,trust,joy,joy,ennui,joy,Positive
가속,6.19,6.73,5.76,trust,surprise,anticipation,surprise,envy,joy,disgust,joy,Positive
촉진 신경,5.63,5.0,6.65,joy,anticipation,anticipation,anticipation,joy,joy,ennui,ennui,Neutral
악센트,6.48,4.95,5.36,joy,anticipation,joy,trust,joy,joy,joy,joy,Positive
수용하다,6.39,2.8,5.94,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
허용 가능,6.59,3.65,6.58,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
수락,6.84,4.3,6.49,joy,trust,trust,trust,ennui,joy,joy,joy,Positive
입장,6.68,5.3,6.89,joy,trust,joy,trust,joy,joy,ennui,joy,Positive
얻기 쉬운,6.68,3.2,6.58,anticipation,trust,trust,trust,ennui,joy,joy,ennui,Positive
종범,5.35,4.22,5.83,anticipation,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
사고,2.55,4.93,3.0,sadness,fear,fear,disgust,disgust,anxiety,embarrassment,anxiety,Negative
우연한,3.46,4.0,3.41,disgust,sadness,anticipation,disgust,disgust,anxiety,disgust,ennui,Negative
환호,6.1,3.95,5.77,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
수용,6.35,3.0,6.27,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
숙소,6.76,4.72,6.0,joy,trust,joy,trust,joy,joy,joy,joy,Positive
따르게 하다,5.47,3.85,5.63,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
공범자,4.6,4.5,5.2,disgust,anticipation,anticipation,anticipation,anger,ennui,ennui,ennui,Neutral
성취하다,7.45,5.16,7.27,joy,joy,trust,joy,joy,joy,joy,joy,Positive
완수,8.05,4.96,6.5,joy,joy,joy,joy,joy,joy,joy,joy,Positive
일치,6.38,2.85,5.64,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
아코디언,5.26,2.94,5.21,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
계정,5.39,3.76,5.06,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
책임,4.89,3.7,6.55,anger,anticipation,sadness,anticipation,anxiety,ennui,ennui,ennui,Neutral
책임이 있습니다,5.7,4.2,5.57,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
회계사,5.19,3.81,5.72,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
회계,4.42,3.68,4.48,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
모으다,6.33,2.73,6.15,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
정확성,6.32,3.33,6.74,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
정확한,7.42,4.35,6.47,joy,trust,trust,trust,joy,joy,joy,joy,Positive
저주 받은,3.21,5.33,4.13,sadness,disgust,disgust,disgust,sadness,disgust,anxiety,disgust,Negative
고발,3.38,5.48,3.62,sadness,fear,fear,disgust,sadness,fear,anxiety,disgust,Negative
고발하다,2.68,5.32,4.0,sadness,fear,anger,anger,sadness,anxiety,anxiety,embarrassment,Negative
에이스,6.37,4.64,6.61,joy,trust,trust,trust,joy,joy,ennui,joy,Positive
아세틸렌,4.11,3.67,4.7,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
아픔,3.27,4.3,4.0,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
성취하다,7.75,4.7,6.61,joy,trust,joy,trust,joy,joy,joy,joy,Positive
성취,7.28,5.57,7.17,joy,joy,joy,joy,joy,joy,ennui,joy,Positive
아프다,3.15,4.48,4.62,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
산,3.26,4.77,4.26,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
인정하다,6.43,3.26,6.11,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
승인,6.53,3.3,6.71,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
좌창,2.18,4.47,3.44,sadness,sadness,anger,disgust,disgust,anxiety,envy,anxiety,Negative
도토리,5.85,4.42,4.77,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
음향학,7.1,4.0,5.79,anticipation,trust,joy,trust,ennui,joy,joy,joy,Positive
음향학,6.33,3.19,5.86,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
아는 사람,5.58,3.24,5.29,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
습득하다,5.5,4.86,7.0,joy,anticipation,sadness,anticipation,joy,joy,ennui,ennui,Neutral
인수,5.0,4.36,5.93,anger,anticipation,anticipation,anticipation,anxiety,ennui,ennui,ennui,Neutral
인수,5.6,4.56,5.45,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
무죄 방면,6.19,4.95,5.03,joy,anticipation,joy,anticipation,joy,ennui,joy,joy,Positive
에이커,5.53,2.73,4.94,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
토지,5.25,3.74,5.52,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
곡예사,6.0,4.9,5.42,joy,anticipation,joy,anticipation,joy,ennui,joy,joy,Neutral
아크릴,5.52,3.73,5.42,anger,anticipation,trust,anticipation,anxiety,ennui,joy,ennui,Neutral
행동,5.64,4.19,6.11,anticipation,anticipation,trust,anticipation,ennui,ennui,ennui,ennui,Neutral
행동,6.0,6.19,6.17,trust,anticipation,anticipation,anticipation,envy,joy,ennui,joy,Neutral
액션 피겨,6.18,4.65,6.71,joy,trust,trust,trust,joy,joy,ennui,joy,Positive
활성화,5.7,3.78,6.28,anticipation,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
활성화,6.14,3.52,6.88,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
활동적인,6.47,5.62,6.32,trust,anticipation,anticipation,anticipation,envy,joy,joy,joy,Positive
활동가,6.24,5.26,5.86,joy,anticipation,anticipation,anticipation,joy,joy,joy,joy,Positive
활동,6.21,4.86,6.45,joy,trust,joy,anticipation,joy,joy,ennui,joy,Positive
배우,6.15,4.35,5.64,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
여배우,5.42,5.43,4.65,trust,anticipation,surprise,anticipation,envy,disgust,joy,disgust,Neutral
실제,6.22,2.75,5.54,anticipation,trust,trust,trust,anxiety,ennui,joy,ennui,Positive
현실,5.4,5.55,5.24,trust,anticipation,anticipation,anticipation,envy,disgust,ennui,disgust,Neutral
침 요법,4.81,4.9,4.77,disgust,anticipation,anticipation,anticipation,disgust,disgust,ennui,disgust,Neutral
심각한,5.1,5.09,5.11,trust,anticipation,anticipation,anticipation,envy,disgust,ennui,disgust,Neutral
광고,4.11,3.33,5.18,disgust,disgust,sadness,sadness,anger,ennui,ennui,ennui,Neutral
금언,5.55,3.38,5.13,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
단호한,5.45,5.74,6.38,trust,anticipation,anticipation,anticipation,envy,disgust,ennui,disgust,Neutral
적응하다,5.84,3.9,5.75,anticipation,anticipation,trust,trust,ennui,ennui,joy,ennui,Neutral
적응,5.82,3.55,6.04,anticipation,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
추가하다,6.23,4.0,6.79,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
가산기,4.45,3.24,4.41,anger,disgust,joy,disgust,anger,ennui,ennui,ennui,Neutral
중독자,2.86,5.33,2.74,sadness,fear,fear,disgust,sadness,embarrassment,embarrassment,embarrassment,Negative
중독,2.89,4.77,2.84,sadness,fear,fear,disgust,disgust,embarrassment,embarrassment,disgust,Negative
탐닉,3.52,4.48,3.84,sadness,disgust,anticipation,disgust,disgust,disgust,disgust,disgust,Negative
중독성,3.52,4.82,4.4,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
추가의,6.15,3.61,4.95,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
주소,6.11,3.05,4.89,anticipation,anticipation,trust,trust,anxiety,ennui,joy,ennui,Positive
정통한,6.14,4.17,6.5,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
적절한,4.7,3.64,6.89,anger,anticipation,sadness,anticipation,anger,ennui,ennui,ennui,Neutral
준수하십시오,5.17,3.52,3.9,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
점착제,5.84,3.2,4.88,anticipation,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
아디다스,5.77,4.18,6.3,anticipation,anticipation,trust,anticipation,ennui,ennui,ennui,ennui,Neutral
인접한,5.15,2.78,4.27,anger,sadness,trust,trust,anxiety,ennui,joy,ennui,Neutral
형용사,5.95,3.64,6.11,anticipation,trust,trust,trust,ennui,ennui,ennui,ennui,Neutral
인접,5.06,3.52,4.65,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
휴회,5.5,3.15,5.75,anger,anticipation,trust,trust,anxiety,ennui,ennui,ennui,Neutral
조정하다,5.76,3.0,6.0,anger,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
조정자,4.25,3.5,5.84,disgust,disgust,sadness,disgust,anger,ennui,ennui,ennui,Neutral
조정,5.53,4.59,4.53,anticipation,anticipation,surprise,anticipation,ennui,ennui,joy,ennui,Neutral
관리자,4.37,3.64,5.83,disgust,disgust,sadness,disgust,anger,ennui,ennui,ennui,Neutral
관리,4.4,3.86,6.33,disgust,anticipation,sadness,disgust,anger,ennui,sadness,ennui,Neutral
관리,4.45,3.23,4.77,anger,disgust,trust,sadness,anger,ennui,ennui,ennui,Neutral
행정,4.79,3.21,5.9,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
관리자,5.32,4.74,5.48,anticipation,anticipation,anticipation,anticipation,ennui,ennui,ennui,ennui,Neutral
훌륭한,7.0,4.57,5.81,joy,trust,joy,trust,joy,joy,joy,joy,Positive
해군 대장,4.8,4.05,5.68,anger,anticipation,anticipation,anticipation,anger,ennui,ennui,ennui,Neutral
제해권,6.16,4.27,6.08,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
감탄,7.58,5.52,6.11,joy,joy,joy,joy,joy,joy,joy,joy,Positive
존경하다,7.35,5.0,7.33,joy,trust,trust,trust,joy,joy,ennui,joy,Positive
존경했다,7.25,5.95,6.94,trust,joy,joy,surprise,envy,joy,joy,joy,Positive
숭배자,7.05,6.0,6.27,trust,surprise,anticipation,surprise,envy,joy,joy,joy,Positive
인정 가능,5.16,2.9,6.21,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
가입,5.91,3.69,5.54,anticipation,anticipation,trust,trust,ennui,ennui,joy,ennui,Neutral
인정하다,5.56,3.35,4.56,anger,anticipation,joy,trust,anxiety,ennui,joy,ennui,Neutral
입장,6.29,3.6,5.96,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
야단법석,4.82,3.33,4.48,anger,disgust,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
어도비 벽돌,5.25,3.89,5.55,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
청년기,6.0,5.1,4.44,joy,anticipation,surprise,anticipation,joy,ennui,joy,joy,Neutral
한창 젊은,5.38,4.2,4.0,anticipation,anticipation,surprise,anticipation,anxiety,ennui,joy,ennui,Neutral
입양하다,6.9,4.71,5.45,joy,trust,joy,trust,joy,joy,joy,joy,Positive
양자,6.68,4.82,5.62,joy,anticipation,joy,trust,joy,joy,joy,joy,Positive
입양,5.67,4.4,5.59,anticipation,anticipation,joy,anticipation,ennui,ennui,ennui,ennui,Neutral
사랑스러운,7.4,4.66,6.83,joy,trust,trust,trust,joy,joy,joy,joy,Positive
동경,6.47,4.36,6.54,anticipation,trust,trust,trust,ennui,joy,ennui,joy,Positive
사랑합니다,7.37,5.96,6.26,joy,joy,joy,surprise,envy,joy,joy,joy,Positive
숭배,7.38,4.86,6.29,joy,trust,joy,trust,joy,joy,joy,joy,Positive
아드레날린,6.33,5.05,4.85,joy,anticipation,surprise,anticipation,joy,ennui,joy,joy,Positive
아드레날린,6.61,5.95,5.72,trust,surprise,anticipation,surprise,envy,joy,joy,joy,Positive
떠돌아,4.36,3.19,4.09,anger,sadness,joy,sadness,anger,ennui,joy,ennui,Neutral
성인,5.9,4.36,6.46,anticipation,trust,trust,anticipation,ennui,joy,ennui,ennui,Neutral
간부,2.77,5.68,3.2,sadness,fear,fear,anger,sadness,embarrassment,fear,embarrassment,Negative
간통,2.81,6.42,3.33,surprise,fear,fear,fear,sadness,fear,fear,envy,Negative
성인 임,5.05,4.28,6.11,anger,anticipation,sadness,anticipation,anxiety,ennui,ennui,ennui,Neutral
전진,6.11,4.62,6.12,joy,anticipation,joy,anticipation,joy,joy,ennui,joy,Positive
고급의,6.14,3.83,6.96,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
진보,7.47,5.81,6.38,joy,joy,joy,surprise,joy,joy,joy,joy,Positive
이점,6.71,3.95,7.19,anticipation,trust,trust,trust,ennui,joy,ennui,joy,Positive
유리한,6.79,5.7,6.22,joy,surprise,anticipation,surprise,envy,joy,joy,joy,Positive
모험,7.4,6.36,6.36,trust,surprise,anticipation,surprise,envy,joy,joy,joy,Positive
모험가,7.0,5.27,5.83,joy,trust,joy,trust,joy,joy,joy,joy,Positive
모험,7.37,6.67,5.71,trust,surprise,surprise,surprise,envy,joy,joy,joy,Positive
적,4.55,4.41,5.0,disgust,anticipation,anticipation,anticipation,anger,ennui,ennui,ennui,Neutral
불리한,3.68,3.89,3.35,disgust,sadness,anticipation,disgust,anger,ennui,disgust,ennui,Negative
역경,4.26,3.82,4.63,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
공시 하다,5.16,4.29,5.74,anger,anticipation,anticipation,anticipation,anxiety,ennui,ennui,ennui,Neutral
광고,4.3,4.14,5.84,disgust,anticipation,sadness,disgust,anger,ennui,sadness,ennui,Neutral
광고,4.68,3.25,5.0,anger,disgust,trust,disgust,anger,ennui,ennui,ennui,Neutral
조언,5.78,3.05,5.83,anger,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
타당한,5.62,4.36,5.86,anticipation,anticipation,joy,anticipation,ennui,ennui,ennui,ennui,Neutral
권하다,5.44,3.38,6.41,anger,trust,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
조언,4.55,4.04,5.92,disgust,anticipation,sadness,anticipation,anger,ennui,ennui,ennui,Neutral
고문,5.68,3.36,6.18,anticipation,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
고문,4.74,3.19,5.7,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
자문,4.95,4.05,4.19,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
지지하다,5.25,4.59,7.26,anticipation,anticipation,sadness,anticipation,ennui,ennui,ennui,ennui,Neutral
공중선,6.04,3.67,5.17,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
에어로빅,6.0,5.1,5.7,joy,anticipation,anticipation,anticipation,joy,joy,joy,joy,Neutral
공기 역학,6.16,4.33,5.1,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
항공 우주,5.79,4.52,5.17,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
미적인,5.43,2.88,5.5,anger,anticipation,trust,trust,anxiety,ennui,ennui,ennui,Neutral
일,3.1,5.4,5.89,sadness,anger,disgust,disgust,sadness,anger,disgust,embarrassment,Negative
영향을 미치다,5.65,3.61,6.39,anticipation,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
애정,7.89,5.64,6.6,joy,joy,joy,joy,joy,joy,joy,joy,Positive
애정이 있습니다,7.23,4.77,6.9,joy,trust,trust,trust,joy,joy,joy,joy,Positive
진술서,4.38,3.73,4.04,disgust,disgust,anticipation,disgust,anger,ennui,joy,ennui,Neutral
입회,5.32,3.9,5.3,anger,anticipation,joy,anticipation,anxiety,ennui,ennui,ennui,Neutral
유연,5.86,4.29,6.55,anticipation,trust,trust,anticipation,ennui,joy,ennui,ennui,Neutral
확언,5.95,3.95,6.53,anticipation,trust,trust,trust,ennui,ennui,ennui,ennui,Neutral
긍정,5.94,3.64,6.78,anticipation,trust,trust,trust,ennui,ennui,ennui,ennui,Neutral
고통,3.76,5.1,4.17,sadness,disgust,disgust,disgust,sadness,disgust,disgust,disgust,Negative
여유가 되다,6.56,4.33,6.44,anticipation,trust,trust,trust,ennui,joy,joy,joy,Positive
입수 가능한,7.52,4.11,6.16,joy,trust,trust,trust,joy,joy,joy,joy,Positive
모욕,4.53,4.5,5.04,disgust,anticipation,anticipation,anticipation,anger,disgust,ennui,ennui,Neutral
불타,6.05,5.41,4.38,joy,anticipation,surprise,anticipation,envy,disgust,joy,joy,Positive
떠서,5.57,4.13,4.96,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
앞서 말한,5.21,3.5,4.96,anger,anticipation,trust,anticipation,anxiety,ennui,joy,ennui,Neutral
두려워하는,2.25,5.12,2.71,sadness,fear,fear,anger,sadness,embarrassment,fear,anxiety,Negative
아프리카 사람,6.42,4.11,5.8,anticipation,trust,joy,trust,ennui,joy,joy,joy,Positive
내세,5.53,4.32,5.86,anticipation,anticipation,joy,anticipation,ennui,ennui,ennui,ennui,Neutral
여파,4.29,5.38,4.23,surprise,disgust,anticipation,anticipation,sadness,disgust,disgust,disgust,Neutral
오후,6.68,3.48,5.71,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
여진,5.55,3.5,5.81,anger,anticipation,trust,trust,anxiety,ennui,ennui,ennui,Neutral
나이,5.78,3.71,4.67,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Neutral
대행사,5.14,3.17,4.89,anger,anticipation,trust,anticipation,anxiety,ennui,joy,ennui,Neutral
의제,5.05,3.62,5.36,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
대리인,5.23,3.43,5.65,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
화나게 하다,2.55,5.9,4.85,sadness,anger,anger,anger,sadness,anger,anger,anger,Negative
악화,2.48,5.35,4.45,sadness,anger,anger,anger,sadness,anger,envy,embarrassment,Negative
침략,3.18,5.69,4.65,sadness,disgust,disgust,fear,sadness,disgust,envy,fear,Negative
공격적인,3.08,5.87,5.49,surprise,anger,anger,fear,sadness,anger,anger,fear,Negative
공격,3.58,6.43,5.21,surprise,anger,disgust,fear,embarrassment,envy,envy,envy,Negative
침략자,2.8,6.55,4.57,surprise,anger,anger,fear,sadness,envy,anxiety,envy,Negative
기민한,5.95,4.95,6.09,joy,anticipation,anticipation,anticipation,joy,joy,ennui,joy,Neutral
민첩,6.55,4.21,6.41,anticipation,trust,trust,trust,ennui,joy,joy,joy,Positive
노화,3.0,3.8,3.06,disgust,sadness,anticipation,sadness,disgust,anxiety,disgust,sadness,Negative
흔들다,3.36,5.82,4.55,surprise,disgust,disgust,fear,sadness,disgust,anxiety,fear,Negative
동요,2.84,4.75,3.29,sadness,fear,fear,disgust,disgust,anxiety,anxiety,anxiety,Negative
불타서,5.84,4.83,5.59,joy,anticipation,joy,anticipation,joy,ennui,joy,ennui,Neutral
고통스러운,2.68,6.71,4.04,surprise,fear,fear,fear,sadness,fear,fear,envy,Negative
고뇌,2.46,5.78,4.0,sadness,fear,anger,anger,sadness,fear,anxiety,anger,Negative
동의하다,7.17,3.62,6.94,anticipation,trust,trust,trust,ennui,joy,joy,joy,Positive
기분 좋은,6.9,3.55,6.97,anticipation,trust,trust,trust,ennui,joy,ennui,joy,Positive
합의,6.75,4.05,6.48,anticipation,trust,trust,trust,ennui,joy,joy,joy,Positive
농업,5.5,3.55,5.74,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
농업,6.1,3.05,6.0,anticipation,trust,trust,trust,anxiety,ennui,joy,ennui,Positive
아아,5.58,3.95,5.45,anticipation,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
지원,6.29,4.55,5.95,joy,anticipation,joy,trust,joy,joy,joy,joy,Positive
보좌관,5.6,4.0,7.05,anticipation,trust,trust,anticipation,ennui,ennui,ennui,ennui,Neutral
에이즈,3.52,3.75,4.88,disgust,disgust,sadness,disgust,anger,ennui,sadness,ennui,Negative
에이즈,1.33,5.0,3.55,sadness,fear,anger,anger,disgust,anxiety,anger,anxiety,Negative
병든,2.95,4.52,4.15,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
병,3.0,3.68,3.14,disgust,sadness,anticipation,sadness,disgust,sadness,disgust,sadness,Negative
목표,5.95,4.0,6.5,anticipation,trust,trust,trust,ennui,ennui,ennui,ennui,Neutral
공기,6.71,3.25,5.72,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
에어백,5.4,3.64,4.81,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
공기 중,5.25,3.52,4.48,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
항공기,6.3,4.86,5.71,joy,anticipation,joy,trust,joy,joy,joy,joy,Positive
항공 모함,5.25,4.64,5.85,anticipation,anticipation,anticipation,anticipation,ennui,ennui,ennui,ennui,Neutral
비행장,5.74,4.38,4.82,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
에어 헤드,4.1,4.3,4.19,disgust,disgust,anticipation,disgust,disgust,ennui,disgust,ennui,Neutral
공기 호스,5.36,4.12,4.92,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
여객기,6.05,4.0,4.25,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
에어 록,4.85,4.23,5.0,anger,anticipation,anticipation,anticipation,anger,ennui,ennui,ennui,Neutral
비행기,5.25,5.62,4.12,fear,anticipation,surprise,anticipation,fear,disgust,joy,disgust,Neutral
공항,6.0,5.5,5.79,trust,anticipation,anticipation,anticipation,envy,joy,joy,joy,Neutral
비행선,5.63,4.88,4.43,joy,anticipation,surprise,anticipation,joy,ennui,joy,ennui,Neutral
