Word,Valence,Arousal,Dominance,P_2D_Polar,P_Euclidean,P_Cosine,P_2D_Euclidean,IO2_2D_Polar,IO2_Euclidean,IO2_Cosine,IO2_2D_Euclidean,Valence_Category
accelerate,6.1,6.04,6.15,trust,anticipation,anticipation,anticipation,envy,joy,ennui,joy,Positive
accelerated,6.21,4.75,6.29,joy,trust,joy,trust,joy,joy,ennui,joy,Positive
acceleration,6.19,6.73,5.76,trust,surprise,anticipation,surprise,envy,joy,disgust,joy,Positive
accelerator,5.63,5.0,6.65,joy,anticipation,anticipation,anticipation,joy,joy,ennui,ennui,Neutral
accent,6.48,4.95,5.36,joy,anticipation,joy,trust,joy,joy,joy,joy,Positive
accept,6.39,2.8,5.94,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
acceptable,6.59,3.65,6.58,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
acceptance,6.84,4.3,6.49,joy,trust,trust,trust,ennui,joy,joy,joy,Positive
access,6.68,5.3,6.89,joy,trust,joy,trust,joy,joy,ennui,joy,Positive
accessible,6.68,3.2,6.58,anticipation,trust,trust,trust,ennui,joy,joy,ennui,Positive
accessory,5.35,4.22,5.83,anticipation,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
accident,2.55,4.93,3.0,sadness,fear,fear,disgust,disgust,anxiety,embarrassment,anxiety,Negative
accidental,3.46,4.0,3.41,disgust,sadness,anticipation,disgust,disgust,anxiety,disgust,ennui,Negative
acclaim,6.1,3.95,5.77,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
accommodate,6.35,3.0,6.27,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
accommodation,6.76,4.72,6.0,joy,trust,joy,trust,joy,joy,joy,joy,Positive
accompany,5.47,3.85,5.63,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
accomplice,4.6,4.5,5.2,disgust,anticipation,anticipation,anticipation,anger,ennui,ennui,ennui,Neutral
accomplish,7.45,5.16,7.27,joy,joy,trust,joy,joy,joy,joy,joy,Positive
accomplishment,8.05,4.96,6.5,joy,joy,joy,joy,joy,joy,joy,joy,Positive
accord,6.38,2.85,5.64,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
accordion,5.26,2.94,5.21,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
account,5.39,3.76,5.06,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
accountability,4.89,3.7,6.55,anger,anticipation,sadness,anticipation,anxiety,ennui,ennui,ennui,Neutral
accountable,5.7,4.2,5.57,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
accountant,5.19,3.81,5.72,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
accounting,4.42,3.68,4.48,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
accumulate,6.33,2.73,6.15,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
accuracy,6.32,3.33,6.74,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
accurate,7.42,4.35,6.47,joy,trust,trust,trust,joy,joy,joy,joy,Positive
accursed,3.21,5.33,4.13,sadness,disgust,disgust,disgust,sadness,disgust,anxiety,disgust,Negative
accusation,3.38,5.48,3.62,sadness,fear,fear,disgust,sadness,fear,anxiety,disgust,Negative
accuse,2.68,5.32,4.0,sadness,fear,anger,anger,sadness,anxiety,anxiety,embarrassment,Negative
ace,6.37,4.64,6.61,joy,trust,trust,trust,joy,joy,ennui,joy,Positive
acetylene,4.11,3.67,4.7,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
ache,3.27,4.3,4.0,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
achieve,7.75,4.7,6.61,joy,trust,joy,trust,joy,joy,joy,joy,Positive
achievement,7.28,5.57,7.17,joy,joy,joy,joy,joy,joy,ennui,joy,Positive
achy,3.15,4.48,4.62,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
acid,3.26,4.77,4.26,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
acknowledge,6.43,3.26,6.11,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
acknowledgement,6.53,3.3,6.71,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
acne,2.18,4.47,3.44,sadness,sadness,anger,disgust,disgust,anxiety,envy,anxiety,Negative
acorn,5.85,4.42,4.77,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
acoustic,7.1,4.0,5.79,anticipation,trust,joy,trust,ennui,joy,joy,joy,Positive
acoustics,6.33,3.19,5.86,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
acquaintance,5.58,3.24,5.29,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
acquire,5.5,4.86,7.0,joy,anticipation,sadness,anticipation,joy,joy,ennui,ennui,Neutral
acquisition,5.0,4.36,5.93,anger,anticipation,anticipation,anticipation,anxiety,ennui,ennui,ennui,Neutral
acquit,5.6,4.56,5.45,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
acquittal,6.19,4.95,5.03,joy,anticipation,joy,anticipation,joy,ennui,joy,joy,Positive
acre,5.53,2.73,4.94,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
acreage,5.25,3.74,5.52,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
acrobat,6.0,4.9,5.42,joy,anticipation,joy,anticipation,joy,ennui,joy,joy,Neutral
acrylic,5.52,3.73,5.42,anger,anticipation,trust,anticipation,anxiety,ennui,joy,ennui,Neutral
act,5.64,4.19,6.11,anticipation,anticipation,trust,anticipation,ennui,ennui,ennui,ennui,Neutral
action,6.0,6.19,6.17,trust,anticipation,anticipation,anticipation,envy,joy,ennui,joy,Neutral
action figure,6.18,4.65,6.71,joy,trust,trust,trust,joy,joy,ennui,joy,Positive
activate,5.7,3.78,6.28,anticipation,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
activation,6.14,3.52,6.88,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
active,6.47,5.62,6.32,trust,anticipation,anticipation,anticipation,envy,joy,joy,joy,Positive
activist,6.24,5.26,5.86,joy,anticipation,anticipation,anticipation,joy,joy,joy,joy,Positive
activity,6.21,4.86,6.45,joy,trust,joy,anticipation,joy,joy,ennui,joy,Positive
actor,6.15,4.35,5.64,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
actress,5.42,5.43,4.65,trust,anticipation,surprise,anticipation,envy,disgust,joy,disgust,Neutral
actual,6.22,2.75,5.54,anticipation,trust,trust,trust,anxiety,ennui,joy,ennui,Positive
actuality,5.4,5.55,5.24,trust,anticipation,anticipation,anticipation,envy,disgust,ennui,disgust,Neutral
acupuncture,4.81,4.9,4.77,disgust,anticipation,anticipation,anticipation,disgust,disgust,ennui,disgust,Neutral
acute,5.1,5.09,5.11,trust,anticipation,anticipation,anticipation,envy,disgust,ennui,disgust,Neutral
ad,4.11,3.33,5.18,disgust,disgust,sadness,sadness,anger,ennui,ennui,ennui,Neutral
adage,5.55,3.38,5.13,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
adamant,5.45,5.74,6.38,trust,anticipation,anticipation,anticipation,envy,disgust,ennui,disgust,Neutral
adapt,5.84,3.9,5.75,anticipation,anticipation,trust,trust,ennui,ennui,joy,ennui,Neutral
adaptation,5.82,3.55,6.04,anticipation,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
add,6.23,4.0,6.79,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
adder,4.45,3.24,4.41,anger,disgust,joy,disgust,anger,ennui,ennui,ennui,Neutral
addict,2.86,5.33,2.74,sadness,fear,fear,disgust,sadness,embarrassment,embarrassment,embarrassment,Negative
addicted,2.89,4.77,2.84,sadness,fear,fear,disgust,disgust,embarrassment,embarrassment,disgust,Negative
addiction,3.52,4.48,3.84,sadness,disgust,anticipation,disgust,disgust,disgust,disgust,disgust,Negative
addictive,3.52,4.82,4.4,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
additional,6.15,3.61,4.95,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
address,6.11,3.05,4.89,anticipation,anticipation,trust,trust,anxiety,ennui,joy,ennui,Positive
adept,6.14,4.17,6.5,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
adequate,4.7,3.64,6.89,anger,anticipation,sadness,anticipation,anger,ennui,ennui,ennui,Neutral
adhere,5.17,3.52,3.9,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
adhesive,5.84,3.2,4.88,anticipation,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
Adidas,5.77,4.18,6.3,anticipation,anticipation,trust,anticipation,ennui,ennui,ennui,ennui,Neutral
adjacent,5.15,2.78,4.27,anger,sadness,trust,trust,anxiety,ennui,joy,ennui,Neutral
adjective,5.95,3.64,6.11,anticipation,trust,trust,trust,ennui,ennui,ennui,ennui,Neutral
adjoining,5.06,3.52,4.65,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
adjourn,5.5,3.15,5.75,anger,anticipation,trust,trust,anxiety,ennui,ennui,ennui,Neutral
adjust,5.76,3.0,6.0,anger,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
adjuster,4.25,3.5,5.84,disgust,disgust,sadness,disgust,anger,ennui,ennui,ennui,Neutral
adjustment,5.53,4.59,4.53,anticipation,anticipation,surprise,anticipation,ennui,ennui,joy,ennui,Neutral
admin,4.37,3.64,5.83,disgust,disgust,sadness,disgust,anger,ennui,ennui,ennui,Neutral
administer,4.4,3.86,6.33,disgust,anticipation,sadness,disgust,anger,ennui,sadness,ennui,Neutral
administration,4.45,3.23,4.77,anger,disgust,trust,sadness,anger,ennui,ennui,ennui,Neutral
administrative,4.79,3.21,5.9,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
administrator,5.32,4.74,5.48,anticipation,anticipation,anticipation,anticipation,ennui,ennui,ennui,ennui,Neutral
admirable,7.0,4.57,5.81,joy,trust,joy,trust,joy,joy,joy,joy,Positive
admiral,4.8,4.05,5.68,anger,anticipation,anticipation,anticipation,anger,ennui,ennui,ennui,Neutral
admiralty,6.16,4.27,6.08,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
admiration,7.58,5.52,6.11,joy,joy,joy,joy,joy,joy,joy,joy,Positive
admire,7.35,5.0,7.33,joy,trust,trust,trust,joy,joy,ennui,joy,Positive
admired,7.25,5.95,6.94,trust,joy,joy,surprise,envy,joy,joy,joy,Positive
admirer,7.05,6.0,6.27,trust,surprise,anticipation,surprise,envy,joy,joy,joy,Positive
admissible,5.16,2.9,6.21,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
admission,5.91,3.69,5.54,anticipation,anticipation,trust,trust,ennui,ennui,joy,ennui,Neutral
admit,5.56,3.35,4.56,anger,anticipation,joy,trust,anxiety,ennui,joy,ennui,Neutral
admittance,6.29,3.6,5.96,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
ado,4.82,3.33,4.48,anger,disgust,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
adobe,5.25,3.89,5.55,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
adolescence,6.0,5.1,4.44,joy,anticipation,surprise,anticipation,joy,ennui,joy,joy,Neutral
adolescent,5.38,4.2,4.0,anticipation,anticipation,surprise,anticipation,anxiety,ennui,joy,ennui,Neutral
adopt,6.9,4.71,5.45,joy,trust,joy,trust,joy,joy,joy,joy,Positive
adoption,6.68,4.82,5.62,joy,anticipation,joy,trust,joy,joy,joy,joy,Positive
adoptive,5.67,4.4,5.59,anticipation,anticipation,joy,anticipation,ennui,ennui,ennui,ennui,Neutral
adorable,7.4,4.66,6.83,joy,trust,trust,trust,joy,joy,joy,joy,Positive
adoration,6.47,4.36,6.54,anticipation,trust,trust,trust,ennui,joy,ennui,joy,Positive
adore,7.37,5.96,6.26,joy,joy,joy,surprise,envy,joy,joy,joy,Positive
adoring,7.38,4.86,6.29,joy,trust,joy,trust,joy,joy,joy,joy,Positive
adrenalin,6.33,5.05,4.85,joy,anticipation,surprise,anticipation,joy,ennui,joy,joy,Positive
adrenaline,6.61,5.95,5.72,trust,surprise,anticipation,surprise,envy,joy,joy,joy,Positive
adrift,4.36,3.19,4.09,anger,sadness,joy,sadness,anger,ennui,joy,ennui,Neutral
adult,5.9,4.36,6.46,anticipation,trust,trust,anticipation,ennui,joy,ennui,ennui,Neutral
adulterer,2.77,5.68,3.2,sadness,fear,fear,anger,sadness,embarrassment,fear,embarrassment,Negative
adultery,2.81,6.42,3.33,surprise,fear,fear,fear,sadness,fear,fear,envy,Negative
adulthood,5.05,4.28,6.11,anger,anticipation,sadness,anticipation,anxiety,ennui,ennui,ennui,Neutral
advance,6.11,4.62,6.12,joy,anticipation,joy,anticipation,joy,joy,ennui,joy,Positive
advanced,6.14,3.83,6.96,anticipation,trust,trust,trust,ennui,joy,ennui,ennui,Positive
advancement,7.47,5.81,6.38,joy,joy,joy,surprise,joy,joy,joy,joy,Positive
advantage,6.71,3.95,7.19,anticipation,trust,trust,trust,ennui,joy,ennui,joy,Positive
advantageous,6.79,5.7,6.22,joy,surprise,anticipation,surprise,envy,joy,joy,joy,Positive
adventure,7.4,6.36,6.36,trust,surprise,anticipation,surprise,envy,joy,joy,joy,Positive
adventurer,7.0,5.27,5.83,joy,trust,joy,trust,joy,joy,joy,joy,Positive
adventurous,7.37,6.67,5.71,trust,surprise,surprise,surprise,envy,joy,joy,joy,Positive
adversary,4.55,4.41,5.0,disgust,anticipation,anticipation,anticipation,anger,ennui,ennui,ennui,Neutral
adverse,3.68,3.89,3.35,disgust,sadness,anticipation,disgust,anger,ennui,disgust,ennui,Negative
adversity,4.26,3.82,4.63,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
advertise,5.16,4.29,5.74,anger,anticipation,anticipation,anticipation,anxiety,ennui,ennui,ennui,Neutral
advertisement,4.3,4.14,5.84,disgust,anticipation,sadness,disgust,anger,ennui,sadness,ennui,Neutral
advertising,4.68,3.25,5.0,anger,disgust,trust,disgust,anger,ennui,ennui,ennui,Neutral
advice,5.78,3.05,5.83,anger,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
advisable,5.62,4.36,5.86,anticipation,anticipation,joy,anticipation,ennui,ennui,ennui,ennui,Neutral
advise,5.44,3.38,6.41,anger,trust,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
advisement,4.55,4.04,5.92,disgust,anticipation,sadness,anticipation,anger,ennui,ennui,ennui,Neutral
adviser,5.68,3.36,6.18,anticipation,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
advisor,4.74,3.19,5.7,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
advisory,4.95,4.05,4.19,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
advocate,5.25,4.59,7.26,anticipation,anticipation,sadness,anticipation,ennui,ennui,ennui,ennui,Neutral
aerial,6.04,3.67,5.17,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
aerobics,6.0,5.1,5.7,joy,anticipation,anticipation,anticipation,joy,joy,joy,joy,Neutral
aerodynamic,6.16,4.33,5.1,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
aerospace,5.79,4.52,5.17,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
aesthetic,5.43,2.88,5.5,anger,anticipation,trust,trust,anxiety,ennui,ennui,ennui,Neutral
affair,3.1,5.4,5.89,sadness,anger,disgust,disgust,sadness,anger,disgust,embarrassment,Negative
affect,5.65,3.61,6.39,anticipation,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
affection,7.89,5.64,6.6,joy,joy,joy,joy,joy,joy,joy,joy,Positive
affectionate,7.23,4.77,6.9,joy,trust,trust,trust,joy,joy,joy,joy,Positive
affidavit,4.38,3.73,4.04,disgust,disgust,anticipation,disgust,anger,ennui,joy,ennui,Neutral
affiliation,5.32,3.9,5.3,anger,anticipation,joy,anticipation,anxiety,ennui,ennui,ennui,Neutral
affinity,5.86,4.29,6.55,anticipation,trust,trust,anticipation,ennui,joy,ennui,ennui,Neutral
affirmation,5.95,3.95,6.53,anticipation,trust,trust,trust,ennui,ennui,ennui,ennui,Neutral
affirmative,5.94,3.64,6.78,anticipation,trust,trust,trust,ennui,ennui,ennui,ennui,Neutral
affliction,3.76,5.1,4.17,sadness,disgust,disgust,disgust,sadness,disgust,disgust,disgust,Negative
afford,6.56,4.33,6.44,anticipation,trust,trust,trust,ennui,joy,joy,joy,Positive
affordable,7.52,4.11,6.16,joy,trust,trust,trust,joy,joy,joy,joy,Positive
affront,4.53,4.5,5.04,disgust,anticipation,anticipation,anticipation,anger,disgust,ennui,ennui,Neutral
afire,6.05,5.41,4.38,joy,anticipation,surprise,anticipation,envy,disgust,joy,joy,Positive
afloat,5.57,4.13,4.96,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
aforementioned,5.21,3.5,4.96,anger,anticipation,trust,anticipation,anxiety,ennui,joy,ennui,Neutral
afraid,2.25,5.12,2.71,sadness,fear,fear,anger,sadness,embarrassment,fear,anxiety,Negative
african,6.42,4.11,5.8,anticipation,trust,joy,trust,ennui,joy,joy,joy,Positive
afterlife,5.53,4.32,5.86,anticipation,anticipation,joy,anticipation,ennui,ennui,ennui,ennui,Neutral
aftermath,4.29,5.38,4.23,surprise,disgust,anticipation,anticipation,sadness,disgust,disgust,disgust,Neutral
afternoon,6.68,3.48,5.71,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
aftershave,5.55,3.5,5.81,anger,anticipation,trust,trust,anxiety,ennui,ennui,ennui,Neutral
age,5.78,3.71,4.67,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Neutral
agency,5.14,3.17,4.89,anger,anticipation,trust,anticipation,anxiety,ennui,joy,ennui,Neutral
agenda,5.05,3.62,5.36,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
agent,5.23,3.43,5.65,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
aggravate,2.55,5.9,4.85,sadness,anger,anger,anger,sadness,anger,anger,anger,Negative
aggravation,2.48,5.35,4.45,sadness,anger,anger,anger,sadness,anger,envy,embarrassment,Negative
aggression,3.18,5.69,4.65,sadness,disgust,disgust,fear,sadness,disgust,envy,fear,Negative
aggressive,3.08,5.87,5.49,surprise,anger,anger,fear,sadness,anger,anger,fear,Negative
aggressiveness,3.58,6.43,5.21,surprise,anger,disgust,fear,embarrassment,envy,envy,envy,Negative
aggressor,2.8,6.55,4.57,surprise,anger,anger,fear,sadness,envy,anxiety,envy,Negative
agile,5.95,4.95,6.09,joy,anticipation,anticipation,anticipation,joy,joy,ennui,joy,Neutral
agility,6.55,4.21,6.41,anticipation,trust,trust,trust,ennui,joy,joy,joy,Positive
aging,3.0,3.8,3.06,disgust,sadness,anticipation,sadness,disgust,anxiety,disgust,sadness,Negative
agitate,3.36,5.82,4.55,surprise,disgust,disgust,fear,sadness,disgust,anxiety,fear,Negative
agitation,2.84,4.75,3.29,sadness,fear,fear,disgust,disgust,anxiety,anxiety,anxiety,Negative
aglow,5.84,4.83,5.59,joy,anticipation,joy,anticipation,joy,ennui,joy,ennui,Neutral
agonizing,2.68,6.71,4.04,surprise,fear,fear,fear,sadness,fear,fear,envy,Negative
agony,2.46,5.78,4.0,sadness,fear,anger,anger,sadness,fear,anxiety,anger,Negative
agree,7.17,3.62,6.94,anticipation,trust,trust,trust,ennui,joy,joy,joy,Positive
agreeable,6.9,3.55,6.97,anticipation,trust,trust,trust,ennui,joy,ennui,joy,Positive
agreement,6.75,4.05,6.48,anticipation,trust,trust,trust,ennui,joy,joy,joy,Positive
agricultural,5.5,3.55,5.74,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
agriculture,6.1,3.05,6.0,anticipation,trust,trust,trust,anxiety,ennui,joy,ennui,Positive
ahoy,5.58,3.95,5.45,anticipation,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
aid,6.29,4.55,5.95,joy,anticipation,joy,trust,joy,joy,joy,joy,Positive
aide,5.6,4.0,7.05,anticipation,trust,trust,anticipation,ennui,ennui,ennui,ennui,Neutral
aids,3.52,3.75,4.88,disgust,disgust,sadness,disgust,anger,ennui,sadness,ennui,Negative
AIDS,1.33,5.0,3.55,sadness,fear,anger,anger,disgust,anxiety,anger,anxiety,Negative
ailing,2.95,4.52,4.15,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
ailment,3.0,3.68,3.14,disgust,sadness,anticipation,sadness,disgust,sadness,disgust,sadness,Negative
aim,5.95,4.0,6.5,anticipation,trust,trust,trust,ennui,ennui,ennui,ennui,Neutral
air,6.71,3.25,5.72,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
airbag,5.4,3.64,4.81,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
airborne,5.25,3.52,4.48,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
aircraft,6.3,4.86,5.71,joy,anticipation,joy,trust,joy,joy,joy,joy,Positive
aircraft carrier,5.25,4.64,5.85,anticipation,anticipation,anticipation,anticipation,ennui,ennui,ennui,ennui,Neutral
airfield,5.74,4.38,4.82,anticipation,anticipation,joy,anticipation,ennui,ennui,joy,ennui,Neutral
airhead,4.1,4.3,4.19,disgust,disgust,anticipation,disgust,disgust,ennui,disgust,ennui,Neutral
airline,5.36,4.12,4.92,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
airliner,6.05,4.0,4.25,anticipation,anticipation,joy,trust,ennui,ennui,joy,ennui,Positive
airlock,4.85,4.23,5.0,anger,anticipation,anticipation,anticipation,anger,ennui,ennui,ennui,Neutral
airplane,5.25,5.62,4.12,fear,anticipation,surprise,anticipation,fear,disgust,joy,disgust,Neutral
airport,6.0,5.5,5.79,trust,anticipation,anticipation,anticipation,envy,joy,joy,joy,Neutral
airship,5.63,4.88,4.43,joy,anticipation,surprise,anticipation,joy,ennui,joy,ennui,Neutral
